Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Luis Castillo,3.49,150,18,0,1.14,173,0.0,FA,11.47
Free Agent,Jacob Webb,0.0,0,0,0,0.0,9999,0.0,FA,-4.48
Free Agent,Thomas Jankins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joe Musgrove,3.78,129,14,0,1.15,441,0.0,FA,5.09
Free Agent,Ben Sears,0.0,0,0,0,0.0,9999,0.0,FA,-6.06157017308341
Free Agent,Tom Colletti,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Peyton Alford,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Frank Del Valle,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jean Carlos Henriquez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Kalish,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Raymond Burgos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Edgar Escobar,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Freddy Tarnok,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Reese Olson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Thomas Hatch,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Charlie Barnes,0.0,0,0,0,0.0,9999,0.0,FA,14.9677363823069
Free Agent,Austin Kubitza,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Paolo Espino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Drew Rasmussen,3.05,110,7,0,1.05,177,0.0,FA,15.86
Free Agent,Cameron Varga,0.0,0,0,0,0.0,9999,0.0,FA,-5.84606754653313
Free Agent,Carlos Hiraldo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Garrett Burhenn,0.0,0,0,0,0.0,9999,0.0,FA,48.2034725458096
Free Agent,Drew Strotman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nate Reed,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Taylor Clarke,0.0,0,0,0,0.0,9999,0.0,FA,-5.21
Free Agent,Nick Davila,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Stephen Villines,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Josh Trentadue,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jason Adam,1.85,71,0,34,1.0,506,0.0,FA,8.32
Free Agent,Landon Beidelschies,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mark Sappington,0.0,0,0,0,0.0,9999,0.0,FA,0.0
